idade,area_atual,horas_disponiveis,nivel_logica,nivel_ingles,area_recomendada,tempo_estimado_semanas
28,Direito,38,4,6,Cybersecurity,40
35,Educação,33,3,10,UX/UI Design,40
46,Direito,40,9,4,Data Science,35
26,Educação,22,4,4,UX/UI Design,53
23,Engenharia,19,7,4,UX/UI Design,51
46,Saúde,31,9,3,Data Science,41
33,Engenharia,37,4,6,UX/UI Design,34
43,Atendimento,22,2,10,Cybersecurity,50
39,Atendimento,22,3,9,Cybersecurity,57
26,Administração,18,3,4,Product Management,51
47,Saúde,22,2,1,UX/UI Design,56
48,Engenharia,39,4,5,UX/UI Design,33
37,Direito,9,7,10,Desenvolvimento Full Stack,59
37,Engenharia,31,10,4,Data Science,37
22,Engenharia,14,7,2,UX/UI Design,51
31,Atendimento,5,1,10,Cybersecurity,70
29,Educação,36,8,6,Data Science,36
20,Educação,28,10,1,Data Science,38
32,Vendas,25,9,9,Data Science,47
47,Educação,10,5,9,Desenvolvimento Full Stack,61
34,Vendas,37,1,5,Product Management,47
22,Administração,32,1,6,Product Management,51
29,Educação,23,4,4,UX/UI Design,49
44,Atendimento,28,2,2,Cybersecurity,52
25,Engenharia,15,1,1,UX/UI Design,58
23,Administração,7,1,7,Product Management,64
41,Vendas,8,5,7,Desenvolvimento Full Stack,60
38,Engenharia,18,8,7,Data Science,47
20,Engenharia,6,5,10,Desenvolvimento Full Stack,59
30,Engenharia,15,9,4,Data Science,54
39,Direito,20,8,7,Data Science,51
51,Vendas,38,4,7,Product Management,41
53,Saúde,14,1,4,UX/UI Design,61
21,Saúde,29,10,1,Data Science,37
33,Atendimento,14,2,9,Cybersecurity,59
27,Educação,35,9,4,Data Science,36
24,Vendas,7,7,9,Desenvolvimento Full Stack,57
38,Engenharia,31,4,8,UX/UI Design,48
48,Engenharia,35,6,1,UX/UI Design,37
51,Vendas,12,9,4,Data Science,49
52,Educação,34,3,5,UX/UI Design,47
54,Direito,37,5,6,Cybersecurity,42
20,Engenharia,35,9,8,Data Science,34
23,Engenharia,33,4,4,UX/UI Design,46
46,Vendas,36,7,1,UX/UI Design,37
47,Administração,6,4,3,Product Management,64
45,Administração,36,7,1,UX/UI Design,38
31,Engenharia,7,9,9,Data Science,57
44,Vendas,24,5,6,UX/UI Design,43
27,Atendimento,7,2,4,Cybersecurity,66
24,Saúde,32,3,1,UX/UI Design,47
19,Saúde,31,7,10,Desenvolvimento Full Stack,44
47,Vendas,34,10,2,Data Science,30
42,Educação,25,10,5,Data Science,37
51,Educação,22,2,1,UX/UI Design,56
37,Vendas,11,3,7,Product Management,64
25,Engenharia,13,5,6,UX/UI Design,59
52,Administração,26,6,4,UX/UI Design,44
37,Engenharia,22,9,1,Data Science,50
46,Administração,17,8,5,Data Science,49
51,Saúde,37,4,4,UX/UI Design,40
39,Engenharia,15,7,9,Desenvolvimento Full Stack,53
39,Atendimento,13,2,4,Cybersecurity,56
42,Administração,8,6,7,Desenvolvimento Full Stack,56
38,Vendas,25,8,2,Data Science,48
26,Atendimento,16,10,1,Data Science,48
31,Vendas,29,3,8,Product Management,48
30,Engenharia,18,1,8,UX/UI Design,56
37,Engenharia,9,6,8,Desenvolvimento Full Stack,58
45,Educação,21,7,5,UX/UI Design,51
39,Atendimento,15,10,4,Data Science,54
30,Saúde,38,5,5,UX/UI Design,33
25,Administração,30,4,5,Product Management,49
18,Engenharia,39,3,2,UX/UI Design,38
26,Direito,6,4,2,Cybersecurity,61
24,Administração,8,7,4,UX/UI Design,61
20,Engenharia,6,1,4,UX/UI Design,65
49,Administração,38,9,7,Data Science,28
34,Educação,19,2,9,UX/UI Design,59
37,Atendimento,7,3,5,Cybersecurity,62
24,Educação,36,7,4,UX/UI Design,35
26,Engenharia,5,7,8,Desenvolvimento Full Stack,64
20,Atendimento,14,10,2,Data Science,54
30,Direito,34,7,7,Desenvolvimento Full Stack,35
47,Saúde,18,7,4,UX/UI Design,51
23,Administração,38,2,6,Product Management,40
41,Administração,35,10,2,Data Science,30
31,Atendimento,10,10,10,Data Science,53
54,Saúde,22,3,1,UX/UI Design,50
35,Educação,14,10,4,Data Science,54
22,Direito,30,10,8,Data Science,35
51,Atendimento,30,8,5,Data Science,37
46,Atendimento,17,2,1,Cybersecurity,61
53,Direito,20,10,1,Data Science,47
37,Engenharia,7,1,4,UX/UI Design,66
42,Vendas,26,6,3,UX/UI Design,42
26,Engenharia,24,3,10,UX/UI Design,50
28,Atendimento,25,10,5,Data Science,44
23,Engenharia,7,8,2,Data Science,54
18,Direito,7,7,10,Desenvolvimento Full Stack,59
43,Educação,34,10,6,Data Science,38
46,Administração,23,10,8,Data Science,39
49,Atendimento,34,1,2,Cybersecurity,44
54,Educação,37,1,5,UX/UI Design,43
38,Direito,9,6,9,Desenvolvimento Full Stack,58
52,Administração,21,7,8,Desenvolvimento Full Stack,51
25,Educação,31,2,5,UX/UI Design,49
45,Direito,31,9,5,Data Science,37
35,Atendimento,22,10,9,Data Science,44
20,Engenharia,27,8,3,Data Science,44
25,Vendas,24,7,5,UX/UI Design,42
48,Vendas,27,10,6,Data Science,40
21,Administração,40,1,8,Product Management,37
46,Educação,22,8,2,Data Science,51
39,Atendimento,24,8,8,Data Science,46
53,Atendimento,35,3,3,Cybersecurity,44
31,Vendas,23,1,8,Product Management,57
37,Engenharia,26,3,6,UX/UI Design,52
29,Atendimento,20,10,3,Data Science,45
50,Direito,23,9,1,Data Science,43
30,Educação,37,8,10,Data Science,32
27,Educação,27,4,8,UX/UI Design,48
25,Atendimento,17,1,4,Cybersecurity,55
49,Educação,29,7,4,UX/UI Design,42
55,Atendimento,18,4,9,Cybersecurity,52
38,Atendimento,40,9,3,Data Science,33
30,Educação,24,3,9,UX/UI Design,46
36,Vendas,17,10,8,Data Science,47
49,Saúde,30,5,5,UX/UI Design,42
36,Direito,39,3,2,Cybersecurity,36
48,Vendas,40,3,10,Product Management,37
48,Engenharia,26,8,3,Data Science,44
28,Administração,11,1,7,Product Management,60
55,Administração,34,5,1,UX/UI Design,42
40,Direito,17,4,1,Cybersecurity,50
55,Saúde,40,2,5,UX/UI Design,39
46,Saúde,30,2,10,UX/UI Design,47
43,Direito,5,7,6,Cybersecurity,60
25,Saúde,25,5,7,Desenvolvimento Full Stack,45
35,Educação,14,9,5,Data Science,51
50,Atendimento,15,4,9,Cybersecurity,60
49,Atendimento,7,6,3,Cybersecurity,58
28,Engenharia,39,10,3,Data Science,28
42,Educação,14,1,2,UX/UI Design,59
51,Educação,26,7,1,UX/UI Design,40
20,Saúde,9,4,7,UX/UI Design,57
53,Atendimento,11,5,9,Desenvolvimento Full Stack,62
26,Saúde,34,9,1,Data Science,32
53,Administração,13,4,9,Product Management,58
23,Engenharia,14,2,2,UX/UI Design,63
49,Saúde,18,9,6,Data Science,46
21,Vendas,12,3,3,Product Management,57
53,Atendimento,27,6,5,Cybersecurity,44
26,Vendas,36,9,4,Data Science,36
34,Engenharia,36,4,4,UX/UI Design,45
28,Direito,35,10,4,Data Science,33
39,Direito,5,6,7,Desenvolvimento Full Stack,62
38,Saúde,40,10,1,Data Science,27
33,Atendimento,40,4,2,Cybersecurity,41
34,Vendas,23,2,5,Product Management,57
21,Saúde,7,9,10,Data Science,54
26,Direito,33,7,9,Desenvolvimento Full Stack,40
46,Educação,5,1,8,UX/UI Design,69
26,Saúde,22,10,2,Data Science,44
26,Direito,10,2,3,Cybersecurity,62
49,Atendimento,11,1,3,Cybersecurity,61
46,Engenharia,32,7,2,UX/UI Design,38
40,Direito,14,10,4,Data Science,51
22,Educação,20,1,1,UX/UI Design,58
18,Atendimento,20,2,2,Cybersecurity,56
32,Educação,7,2,5,UX/UI Design,66
36,Vendas,36,9,5,Data Science,29
34,Direito,17,4,7,Cybersecurity,57
52,Educação,33,5,6,UX/UI Design,43
23,Engenharia,36,7,6,UX/UI Design,35
33,Direito,37,1,9,Cybersecurity,44
39,Engenharia,30,9,4,Data Science,37
43,Vendas,8,1,4,Product Management,62
51,Atendimento,34,1,9,Cybersecurity,43
49,Atendimento,29,6,1,Cybersecurity,42
44,Saúde,20,3,1,UX/UI Design,55
48,Saúde,19,4,5,UX/UI Design,54
35,Engenharia,27,6,5,UX/UI Design,49
37,Administração,22,1,5,Product Management,57
54,Atendimento,7,2,7,Cybersecurity,68
21,Direito,36,1,1,Cybersecurity,40
43,Atendimento,31,2,3,Cybersecurity,48
34,Administração,30,6,7,Desenvolvimento Full Stack,38
27,Direito,14,6,9,Desenvolvimento Full Stack,51
40,Administração,31,3,5,Product Management,48
48,Engenharia,25,3,6,UX/UI Design,49
31,Educação,12,8,9,Data Science,53
48,Administração,40,6,6,UX/UI Design,38
28,Engenharia,39,2,7,UX/UI Design,36
41,Direito,21,5,7,Desenvolvimento Full Stack,51
43,Vendas,5,2,2,Product Management,71
50,Engenharia,7,9,6,Data Science,56
18,Engenharia,14,3,10,UX/UI Design,59
21,Administração,27,9,2,Data Science,40
22,Educação,20,4,5,UX/UI Design,51
26,Direito,13,1,7,Cybersecurity,61
39,Vendas,13,9,2,Data Science,53
35,Direito,6,7,9,Desenvolvimento Full Stack,58
22,Administração,40,5,3,UX/UI Design,38
20,Atendimento,32,2,4,Cybersecurity,44
38,Engenharia,10,1,3,UX/UI Design,60
21,Saúde,27,6,2,UX/UI Design,48
22,Administração,13,6,7,Desenvolvimento Full Stack,55
30,Saúde,21,5,6,UX/UI Design,55
46,Engenharia,31,3,2,UX/UI Design,44
37,Atendimento,25,10,2,Data Science,44
22,Saúde,24,7,1,UX/UI Design,42
26,Administração,27,8,1,Data Science,39
49,Vendas,27,6,5,UX/UI Design,46
22,Saúde,5,5,5,UX/UI Design,61
20,Vendas,29,2,9,Product Management,50
28,Engenharia,13,10,6,Data Science,48
22,Engenharia,28,5,4,UX/UI Design,43
20,Engenharia,20,3,1,UX/UI Design,51
36,Vendas,5,4,6,Product Management,69
33,Educação,13,3,9,UX/UI Design,61
34,Administração,30,9,3,Data Science,35
38,Atendimento,33,7,6,Cybersecurity,37
45,Atendimento,33,2,5,Cybersecurity,48
53,Saúde,34,4,5,UX/UI Design,45
40,Atendimento,34,10,2,Data Science,35
20,Educação,12,7,3,UX/UI Design,54
44,Administração,37,7,7,Desenvolvimento Full Stack,40
44,Saúde,35,8,10,Data Science,34
52,Vendas,25,3,2,Product Management,47
45,Saúde,38,9,3,Data Science,36
53,Direito,32,2,2,Cybersecurity,44
45,Atendimento,23,10,4,Data Science,43
19,Direito,34,7,2,Cybersecurity,42
50,Vendas,19,5,10,Desenvolvimento Full Stack,51
50,Direito,30,2,8,Cybersecurity,51
40,Direito,37,8,4,Data Science,38
52,Direito,17,8,3,Data Science,49
30,Direito,12,3,5,Cybersecurity,56
47,Atendimento,9,9,7,Data Science,57
54,Vendas,10,2,10,Product Management,63
25,Administração,38,8,1,Data Science,35
33,Saúde,10,5,2,UX/UI Design,61
28,Saúde,17,2,9,UX/UI Design,56
49,Direito,27,2,5,Cybersecurity,47
28,Direito,11,4,2,Cybersecurity,62
51,Engenharia,7,9,9,Data Science,60
37,Atendimento,38,10,5,Data Science,27
23,Engenharia,23,10,3,Data Science,39
29,Administração,36,2,4,Product Management,43
50,Educação,11,7,2,UX/UI Design,60
45,Administração,23,1,9,Product Management,54
24,Atendimento,18,8,4,Data Science,48
32,Engenharia,38,6,3,UX/UI Design,34
44,Atendimento,17,6,4,Cybersecurity,53
24,Educação,38,1,8,UX/UI Design,38
53,Saúde,25,2,7,UX/UI Design,47
19,Vendas,36,7,8,Desenvolvimento Full Stack,34
53,Direito,12,2,8,Cybersecurity,58
21,Saúde,9,8,4,Data Science,55
54,Vendas,11,3,7,Product Management,58
35,Educação,5,1,2,UX/UI Design,73
20,Atendimento,8,4,1,Cybersecurity,65
31,Engenharia,25,9,1,Data Science,42
35,Educação,34,9,7,Data Science,35
27,Saúde,22,10,3,Data Science,47
31,Atendimento,23,6,2,Cybersecurity,46
52,Vendas,5,1,10,Product Management,64
43,Educação,25,10,10,Data Science,43
47,Engenharia,20,1,2,UX/UI Design,56
25,Administração,17,10,3,Data Science,43
54,Educação,22,6,8,Desenvolvimento Full Stack,46
25,Direito,8,7,5,Cybersecurity,57
18,Direito,28,5,1,Cybersecurity,46
50,Administração,15,3,10,Product Management,56
35,Atendimento,15,4,4,Cybersecurity,53
41,Engenharia,9,4,9,UX/UI Design,66
35,Vendas,28,4,4,Product Management,50
25,Educação,14,1,5,UX/UI Design,62
41,Administração,16,6,10,Desenvolvimento Full Stack,58
30,Vendas,8,9,10,Data Science,61
41,Direito,33,7,9,Desenvolvimento Full Stack,39
54,Direito,17,2,3,Cybersecurity,62
19,Engenharia,28,7,5,UX/UI Design,39
39,Administração,33,5,5,UX/UI Design,45
18,Atendimento,17,4,1,Cybersecurity,53
35,Atendimento,29,6,7,Desenvolvimento Full Stack,43
40,Educação,23,10,1,Data Science,40
25,Administração,40,4,4,Product Management,37
23,Engenharia,8,6,5,UX/UI Design,59
18,Engenharia,40,4,3,UX/UI Design,39
52,Educação,6,7,9,Desenvolvimento Full Stack,59
53,Vendas,8,5,7,Desenvolvimento Full Stack,56
20,Saúde,30,1,5,UX/UI Design,48
35,Vendas,18,9,3,Data Science,44
25,Atendimento,14,8,9,Data Science,51
49,Direito,23,9,5,Data Science,47
35,Atendimento,26,5,8,Desenvolvimento Full Stack,49
38,Administração,16,1,2,Product Management,55
23,Vendas,31,3,4,Product Management,49
26,Vendas,23,2,5,Product Management,50
31,Vendas,35,4,8,Product Management,43
27,Administração,14,5,10,Desenvolvimento Full Stack,55
18,Educação,17,4,6,UX/UI Design,53
30,Engenharia,21,3,10,UX/UI Design,55
26,Engenharia,13,5,7,Desenvolvimento Full Stack,60
50,Engenharia,24,9,7,Data Science,44
20,Saúde,22,1,1,UX/UI Design,54
43,Vendas,5,5,8,Desenvolvimento Full Stack,65
33,Engenharia,28,1,5,UX/UI Design,48
46,Atendimento,24,10,1,Data Science,38
35,Engenharia,24,4,10,UX/UI Design,53
38,Educação,22,4,7,UX/UI Design,53
23,Engenharia,9,5,5,UX/UI Design,62
54,Vendas,7,2,8,Product Management,66
45,Saúde,13,1,5,UX/UI Design,64
47,Direito,37,4,9,Cybersecurity,36
27,Saúde,22,7,6,UX/UI Design,48
41,Educação,31,3,3,UX/UI Design,44
44,Educação,34,3,5,UX/UI Design,44
53,Engenharia,30,4,4,UX/UI Design,43
20,Direito,11,3,8,Cybersecurity,60
48,Vendas,34,3,8,Product Management,41
40,Direito,32,10,2,Data Science,32
33,Direito,31,10,5,Data Science,40
32,Engenharia,6,6,3,UX/UI Design,66
28,Saúde,16,9,4,Data Science,50
25,Saúde,25,3,3,UX/UI Design,52
29,Direito,21,1,6,Cybersecurity,51
35,Saúde,31,4,10,UX/UI Design,48
31,Administração,12,6,10,Desenvolvimento Full Stack,53
22,Vendas,17,7,7,Desenvolvimento Full Stack,52
51,Saúde,10,5,8,Desenvolvimento Full Stack,61
54,Direito,9,4,9,Cybersecurity,60
44,Educação,21,2,6,UX/UI Design,51
32,Administração,24,4,9,Product Management,50
29,Vendas,16,8,1,Data Science,53
37,Vendas,34,6,5,UX/UI Design,40
47,Atendimento,37,2,6,Cybersecurity,37
27,Engenharia,23,5,6,UX/UI Design,51
40,Administração,9,7,8,Desenvolvimento Full Stack,53
37,Direito,9,4,9,Cybersecurity,62
25,Educação,5,9,8,Data Science,59
40,Direito,32,6,1,Cybersecurity,39
54,Engenharia,5,7,7,Desenvolvimento Full Stack,66
31,Educação,6,10,9,Data Science,61
55,Engenharia,19,6,7,Desenvolvimento Full Stack,49
28,Direito,22,5,4,Cybersecurity,55
41,Atendimento,26,2,9,Cybersecurity,55
33,Saúde,7,2,6,UX/UI Design,66
45,Direito,8,7,7,Desenvolvimento Full Stack,56
22,Direito,10,5,2,Cybersecurity,60
44,Vendas,36,5,1,UX/UI Design,42
48,Administração,31,8,1,Data Science,39
32,Direito,25,2,2,Cybersecurity,49
49,Educação,6,2,3,UX/UI Design,68
26,Atendimento,16,8,10,Data Science,56
55,Atendimento,24,9,5,Data Science,41
21,Atendimento,28,1,5,Cybersecurity,48
18,Vendas,21,1,10,Product Management,51
35,Engenharia,7,10,6,Data Science,58
50,Direito,16,1,1,Cybersecurity,57
45,Educação,18,5,4,UX/UI Design,54
49,Educação,7,8,2,Data Science,59
31,Direito,32,10,7,Data Science,38
33,Saúde,24,7,10,Desenvolvimento Full Stack,43
33,Engenharia,28,3,9,UX/UI Design,51
22,Administração,34,3,5,Product Management,44
32,Saúde,35,2,2,UX/UI Design,39
19,Atendimento,12,4,10,Cybersecurity,57
31,Saúde,39,7,2,UX/UI Design,29
38,Educação,6,1,5,UX/UI Design,72
36,Educação,8,2,10,UX/UI Design,65
41,Administração,7,6,7,Desenvolvimento Full Stack,61
25,Atendimento,11,10,2,Data Science,51
49,Direito,17,9,3,Data Science,45
48,Vendas,11,9,2,Data Science,59
18,Administração,30,9,10,Data Science,41
51,Direito,38,4,1,Cybersecurity,40
44,Vendas,5,10,4,Data Science,53
31,Educação,38,3,4,UX/UI Design,37
24,Vendas,12,1,3,Product Management,67
32,Engenharia,32,4,8,UX/UI Design,46
50,Direito,11,7,6,Cybersecurity,52
19,Educação,28,6,4,UX/UI Design,39
19,Saúde,25,1,2,UX/UI Design,56
19,Administração,24,6,1,UX/UI Design,49
32,Administração,33,1,1,Product Management,44
33,Atendimento,25,8,3,Data Science,48
26,Administração,9,8,10,Data Science,54
54,Direito,35,8,9,Data Science,33
35,Saúde,9,7,4,UX/UI Design,61
26,Administração,29,7,1,UX/UI Design,45
36,Engenharia,11,2,4,UX/UI Design,63
25,Atendimento,13,2,1,Cybersecurity,65
38,Engenharia,11,5,1,UX/UI Design,63
35,Atendimento,12,3,9,Cybersecurity,62
50,Atendimento,23,10,8,Data Science,46
30,Administração,11,10,3,Data Science,51
35,Direito,5,4,2,Cybersecurity,68
53,Engenharia,12,3,4,UX/UI Design,65
48,Vendas,33,5,6,UX/UI Design,39
46,Administração,15,9,5,Data Science,53
49,Saúde,30,8,7,Data Science,44
54,Atendimento,16,9,1,Data Science,49
27,Administração,17,4,9,Product Management,59
36,Vendas,11,1,1,Product Management,67
44,Educação,7,2,9,UX/UI Design,62
30,Saúde,15,7,2,UX/UI Design,54
49,Educação,23,1,6,UX/UI Design,54
53,Saúde,34,5,9,Desenvolvimento Full Stack,45
43,Administração,15,7,1,UX/UI Design,52
51,Vendas,9,9,1,Data Science,58
51,Direito,12,9,3,Data Science,55
23,Engenharia,33,2,1,UX/UI Design,50
45,Administração,27,2,1,Product Management,45
45,Administração,14,6,8,Desenvolvimento Full Stack,58
36,Educação,40,3,9,UX/UI Design,34
55,Atendimento,5,9,6,Data Science,54
38,Atendimento,36,1,4,Cybersecurity,48
18,Administração,19,10,10,Data Science,51
49,Engenharia,27,9,4,Data Science,38
37,Administração,25,6,4,UX/UI Design,47
41,Engenharia,17,6,9,Desenvolvimento Full Stack,51
50,Atendimento,22,9,2,Data Science,46
19,Direito,31,10,2,Data Science,41
20,Atendimento,11,7,3,Cybersecurity,59
54,Direito,36,9,2,Data Science,37
28,Engenharia,7,3,5,UX/UI Design,68
38,Saúde,12,10,2,Data Science,48
34,Educação,28,7,8,Desenvolvimento Full Stack,42
22,Atendimento,33,8,6,Data Science,41
29,Atendimento,37,2,2,Cybersecurity,43
54,Administração,24,3,10,Product Management,49
44,Saúde,27,7,1,UX/UI Design,42
39,Saúde,30,9,10,Data Science,36
18,Administração,12,4,8,Product Management,57
21,Saúde,13,8,4,Data Science,53
44,Engenharia,32,1,9,UX/UI Design,44
46,Atendimento,9,6,5,Cybersecurity,56
18,Educação,40,6,10,Desenvolvimento Full Stack,35
50,Vendas,15,4,1,Product Management,52
47,Educação,24,8,2,Data Science,50
22,Direito,39,7,2,Cybersecurity,33
53,Administração,11,7,6,UX/UI Design,57
49,Direito,29,7,1,Cybersecurity,42
29,Saúde,11,1,5,UX/UI Design,61
32,Engenharia,30,4,9,UX/UI Design,46
25,Educação,10,9,3,Data Science,51
23,Administração,28,2,9,Product Management,50
50,Vendas,21,8,9,Data Science,49
22,Vendas,23,7,6,UX/UI Design,43
26,Engenharia,21,8,2,Data Science,52
39,Atendimento,17,3,4,Cybersecurity,57
28,Vendas,29,8,9,Data Science,44
49,Administração,6,8,9,Data Science,63
43,Saúde,23,9,1,Data Science,44
51,Educação,31,3,5,UX/UI Design,47
27,Saúde,14,4,7,UX/UI Design,54
55,Saúde,34,3,7,UX/UI Design,42
50,Saúde,34,3,6,UX/UI Design,44
29,Vendas,27,9,7,Data Science,44
53,Educação,17,1,7,UX/UI Design,55
43,Engenharia,29,10,7,Data Science,35
31,Direito,30,4,6,Cybersecurity,46
33,Administração,20,6,8,Desenvolvimento Full Stack,49
18,Administração,23,7,10,Desenvolvimento Full Stack,47
46,Vendas,35,7,3,UX/UI Design,32
42,Administração,33,3,2,Product Management,46
24,Administração,20,3,5,Product Management,58
34,Saúde,25,9,10,Data Science,41
33,Direito,36,10,10,Data Science,32
36,Direito,15,7,5,Cybersecurity,53
47,Direito,8,1,1,Cybersecurity,62
31,Atendimento,18,2,3,Cybersecurity,57
55,Engenharia,20,4,7,UX/UI Design,55
39,Educação,28,3,1,UX/UI Design,44
40,Engenharia,26,7,5,UX/UI Design,48
47,Administração,16,8,9,Data Science,51
22,Direito,21,3,8,Cybersecurity,53
51,Atendimento,8,1,6,Cybersecurity,64
53,Administração,8,9,3,Data Science,60
30,Educação,34,4,2,UX/UI Design,44
28,Administração,5,8,2,Data Science,63
39,Educação,29,2,4,UX/UI Design,51
30,Saúde,40,6,4,UX/UI Design,37
23,Atendimento,31,1,6,Cybersecurity,44
53,Vendas,31,10,9,Data Science,35
39,Direito,39,8,10,Data Science,36
40,Administração,34,7,6,UX/UI Design,41
49,Vendas,36,2,7,Product Management,38
50,Atendimento,15,3,4,Cybersecurity,57
22,Vendas,38,9,1,Data Science,30
55,Direito,6,6,1,Cybersecurity,66
32,Engenharia,16,1,10,UX/UI Design,61
23,Administração,16,7,1,UX/UI Design,54
22,Atendimento,38,9,6,Data Science,35
27,Educação,14,3,7,UX/UI Design,62
41,Direito,26,6,10,Desenvolvimento Full Stack,41
44,Vendas,25,3,9,Product Management,48
36,Vendas,40,6,5,UX/UI Design,36
35,Educação,38,10,10,Data Science,31
28,Saúde,29,6,8,Desenvolvimento Full Stack,47
51,Administração,27,8,8,Data Science,42
44,Vendas,28,9,4,Data Science,37
38,Engenharia,20,9,5,Data Science,44
31,Vendas,7,1,3,Product Management,68
54,Vendas,20,2,8,Product Management,56
55,Saúde,23,8,7,Data Science,50
53,Saúde,28,4,3,UX/UI Design,45
30,Administração,21,9,1,Data Science,43
55,Educação,30,2,3,UX/UI Design,51
19,Engenharia,29,6,4,UX/UI Design,45
44,Engenharia,39,3,6,UX/UI Design,38
31,Administração,40,6,1,UX/UI Design,33
38,Saúde,28,9,10,Data Science,41
52,Saúde,21,4,9,UX/UI Design,52
45,Vendas,28,10,8,Data Science,41
20,Administração,35,9,6,Data Science,39
33,Saúde,12,4,5,UX/UI Design,63
26,Administração,35,1,2,Product Management,41
36,Engenharia,32,7,1,UX/UI Design,42
52,Vendas,21,5,1,UX/UI Design,46
25,Direito,15,5,10,Desenvolvimento Full Stack,57
55,Educação,13,2,6,UX/UI Design,62
45,Direito,35,5,2,Cybersecurity,37
51,Saúde,30,4,3,UX/UI Design,48
55,Direito,34,7,3,Cybersecurity,35
42,Administração,14,2,7,Product Management,59
42,Saúde,30,3,9,UX/UI Design,47
44,Atendimento,24,10,3,Data Science,42
41,Atendimento,19,3,6,Cybersecurity,50
50,Direito,29,6,1,Cybersecurity,43
48,Atendimento,31,9,2,Data Science,35
51,Engenharia,29,9,1,Data Science,44
25,Engenharia,28,6,6,UX/UI Design,48
23,Vendas,9,6,2,UX/UI Design,59
22,Engenharia,7,4,5,UX/UI Design,66
29,Educação,13,3,2,UX/UI Design,60
26,Administração,20,2,10,Product Management,58
49,Educação,13,8,9,Data Science,50
37,Administração,20,7,7,Desenvolvimento Full Stack,44
36,Educação,28,9,1,Data Science,42
55,Atendimento,40,3,8,Cybersecurity,40
26,Engenharia,39,9,3,Data Science,34
21,Atendimento,16,5,10,Desenvolvimento Full Stack,57
52,Educação,20,7,2,UX/UI Design,52
53,Atendimento,15,4,5,Cybersecurity,56
36,Vendas,39,7,6,UX/UI Design,30
51,Saúde,5,7,3,UX/UI Design,57
34,Engenharia,30,4,7,UX/UI Design,41
44,Engenharia,40,4,1,UX/UI Design,37
37,Administração,27,5,2,UX/UI Design,44
40,Administração,35,8,4,Data Science,39
38,Saúde,19,7,5,UX/UI Design,48
46,Direito,29,3,7,Cybersecurity,45
41,Direito,8,2,5,Cybersecurity,60
40,Educação,15,3,1,UX/UI Design,54
20,Administração,7,7,2,UX/UI Design,64
27,Vendas,35,4,6,Product Management,36
51,Vendas,16,2,3,Product Management,56
42,Atendimento,19,5,10,Desenvolvimento Full Stack,56
53,Saúde,20,8,4,Data Science,48
38,Vendas,24,8,4,Data Science,49
26,Administração,35,7,7,Desenvolvimento Full Stack,37
42,Engenharia,23,8,7,Data Science,42
22,Atendimento,38,5,6,Cybersecurity,39
26,Engenharia,19,10,9,Data Science,45
42,Engenharia,11,4,1,UX/UI Design,58
50,Direito,6,5,2,Cybersecurity,65
44,Engenharia,21,5,4,UX/UI Design,52
36,Atendimento,15,5,9,Desenvolvimento Full Stack,60
43,Saúde,36,3,2,UX/UI Design,45
47,Vendas,35,8,8,Data Science,39
41,Administração,36,5,6,UX/UI Design,41
34,Administração,11,10,6,Data Science,48
27,Saúde,37,1,5,UX/UI Design,45
52,Vendas,13,7,1,UX/UI Design,52
27,Engenharia,20,8,6,Data Science,43
50,Administração,5,10,6,Data Science,60
39,Engenharia,13,10,5,Data Science,55
24,Administração,24,3,6,Product Management,49
42,Saúde,16,2,8,UX/UI Design,53
42,Saúde,26,1,4,UX/UI Design,54
36,Atendimento,33,6,4,Cybersecurity,45
20,Saúde,31,2,3,UX/UI Design,43
19,Administração,14,7,7,Desenvolvimento Full Stack,58
28,Saúde,19,4,7,UX/UI Design,56
50,Vendas,32,10,9,Data Science,32
51,Engenharia,36,4,9,UX/UI Design,37
33,Educação,19,1,9,UX/UI Design,58
50,Atendimento,40,6,6,Cybersecurity,34
34,Administração,14,4,8,Product Management,54
47,Engenharia,37,8,4,Data Science,35
51,Vendas,38,1,6,Product Management,44
37,Atendimento,9,10,1,Data Science,59
41,Saúde,32,10,10,Data Science,38
34,Vendas,5,1,7,Product Management,64
38,Engenharia,8,6,6,UX/UI Design,63
19,Atendimento,11,9,8,Data Science,58
21,Vendas,38,4,6,Product Management,40
37,Direito,11,1,1,Cybersecurity,68
52,Engenharia,13,4,5,UX/UI Design,53
23,Engenharia,28,6,4,UX/UI Design,47
43,Engenharia,9,4,5,UX/UI Design,65
33,Educação,31,4,2,UX/UI Design,43
22,Educação,36,5,1,UX/UI Design,41
20,Direito,27,9,7,Data Science,37
34,Direito,7,6,9,Desenvolvimento Full Stack,65
32,Atendimento,30,10,10,Data Science,42
25,Educação,34,9,3,Data Science,32
48,Direito,38,4,1,Cybersecurity,42
49,Direito,8,5,8,Desenvolvimento Full Stack,63
25,Vendas,16,2,9,Product Management,62
45,Direito,21,9,3,Data Science,49
23,Direito,5,9,2,Data Science,56
47,Saúde,38,8,4,Data Science,32
18,Atendimento,27,7,10,Desenvolvimento Full Stack,44
31,Atendimento,31,2,7,Cybersecurity,48
21,Educação,38,1,4,UX/UI Design,41
31,Direito,26,10,10,Data Science,43
33,Atendimento,17,4,6,Cybersecurity,54
33,Atendimento,25,10,7,Data Science,43
22,Saúde,29,1,1,UX/UI Design,54
30,Saúde,5,1,7,UX/UI Design,69
